Газопровод Ул., д. 7, к. к. 1, кв. 33
Петровско-Разумовский Пр., д. 6, к. , кв. 0
Петровско-Разумовский Пр., д. 24, к. к. 5, кв. 264
Петровско-Разумовский Пр., д. 24, к. к. 1, кв. 44
Петровско-Разумовский Пр., д. 24, к. к. 3, кв. 178
Петровско-Разумовский Пр., д. 24, к. к. 3, кв. 167
Петровско-Разумовский Пр., д. 24, к. к. 2, кв. 80
Петровско-Разумовский Пр., д. 25, к. к. 3, кв. 82
Петровско-Разумовский Пр., д. 25, к. к. 3, кв. 43
Петровско-Разумовский Пр., д. 17, к. А, кв. 91
Петровско-Разумовский Пр., д. 25, к. к. 1, кв. 31
Петровско-Разумовский Пр., д. 25, к. к. 3, кв. 28
Донского Дмитрия Бульв., д. 9, к. к. 2, кв. 35
Гастелло Ул., д. 37, к. , кв. 80
Люсиновская Ул., д. 12, к. , кв. 64
Смольная Ул., д. 19, к. к. 1, кв. 19
Изюмская Ул., д. 12, к. , кв. 12
Изюмская Ул., д. 1, к. , кв. 0
Уральская Ул., д. 12, к. /21, кв. 0
Уральская Ул., д. 23, к. к. 3, кв. 0
Уральская Ул., д. 1, к. , кв. 0
Уральская Ул., д. 1, к. , кв. 0
Уральская Ул., д. 2, к. , кв. 0
Уральская Ул., д. 2, к. , кв. 0
Уральская Ул., д. 2, к. , кв. 0
Уральская Ул., д. 2, к. , кв. 0
Уральская Ул., д. 2, к. , кв. 0
Коровинское Шоссе, д. 9, к. к. 1, кв. 66
Народная Ул., д. 9, к. , кв. 69
Востряковский Пр., д. 25, к. к. 2, кв. 60
Волжский Бульв., д. 27, к. к. 5, кв. 58
Чертановская Ул., д. 56, к. к. 2, кв. 45
Магнитогорская Ул., д. 5, к. , кв. 82
Арманд Инессы Ул., д. 2, к. /32, кв. 190
Можайское Шоссе, д. 38, к. к. 3, кв. 37
Измайловский Бульв., д. 34, к. , кв. 33
Профсоюзная Ул., д. 47, к. , кв. 62
Таганская Ул., д. 22, к. /1, кв. 9
Таганская Ул., д. 22, к. /1, кв. 10
Таганская Ул., д. 22, к. /1, кв. 17
Таганская Ул., д. 32, к. /1, кв. 0
Таганская Ул., д. 22, к. /1, кв. 38
Таганская Ул., д. 40, к. /42, кв. 0
Таганская Ул., д. 22, к. /1, кв. 52
Таганская Ул., д. 22, к. /1, кв. 57
Таганская Ул., д. 25, к. , кв. 4
Таганская Ул., д. 31, к. /22, кв. 149
Таганская Ул., д. 25, к. , кв. 30
Таганская Ул., д. 34, к. , кв. 0
Бутлерова Ул., д. 4, к. к. 3, кв. 251
Красноярская Ул., д. 17, к. , кв. 269
Маросейка Ул., д. 10, к. , кв. 52
Мира Просп., д. 108, к. , кв. 20
Нагорная Ул., д. 17, к. к. 4, кв. 33
Нагорная Ул., д. 0, к. , кв. 0
Винницкая Ул., д. 9, к. , кв. 109
Ленинский Просп., д. 122, к. , кв. 67
Багрицкого Ул., д. 53, к. , кв. 68
Солнцевский Просп., д. 10, к. , кв. 66
Байкальская Ул., д. 35, к. , кв. 47
Филевская М. Ул., д. 16, к. , кв. 48
Владимирская 2-Я Ул., д. 11, к. , кв. 142
Домодедовская Ул., д. 22, к. к. 3, кв. 865
Домодедовская Ул., д. 22, к. к. 3, кв. 865
Гурьевский Пр., д. 17, к. к. 1, кв. 325
Зеленоград, д. 0, к. , кв. 48
Красных Зорь Ул., д. 29, к. , кв. 6
Власова Архитектора Ул., д. 25, к. к. 1, кв. 41
АЯкорная Ул., д. 9, к. , кв. 181
Джалиля Мусы Ул., д. 42, к. к. 1, кв. 179
Кусковская Ул., д. 19, к. к. 2, кв. 32
